,ID,Outcome
425,1364,no
426,1367,no
427,1368,no
428,1370,no
429,1374,no
430,1376,no
431,1379,no
432,1382,no
433,1383,no
434,1385,no
435,1388,no
436,1393,no
437,1397,no
438,1402,no
439,1403,no
440,1406,no
441,1407,no
442,1408,no
443,1410,no
444,1414,no
445,1417,no
446,1420,no
447,1421,no
448,1422,no
449,1424,no
450,1427,no
451,1432,no
452,1436,no
453,1442,no
454,1443,no
455,1444,no
456,1445,no
457,1448,no
458,1449,no
459,1451,no
460,1452,no
461,1454,no
462,1455,no
463,1459,no
464,1460,no
465,1463,no
466,1464,no
467,1467,no
468,1470,no
469,1471,no
470,1474,no
471,1475,no
472,1477,no
473,1478,no
474,1484,no
475,1490,no
476,1491,no
477,1496,no
478,1498,no
479,1505,no
480,1506,no
481,1513,no
482,1516,no
483,1518,no
484,1521,no
485,1523,no
486,1524,no
487,1526,no
488,1528,no
489,1534,no
490,1540,no
491,1541,no
492,1549,no
493,1553,no
494,1554,no
495,1560,no
496,1566,no
497,1569,no
498,1572,no
499,1573,no
500,1574,no
501,1575,no
502,1576,no
503,1582,no
504,1584,no
505,1585,no
506,1588,no
507,1598,no
508,1601,no
509,1602,no
510,1603,no
511,1608,no
512,1609,no
513,1612,no
514,1613,no
515,1619,no
516,1629,no
517,1631,no
518,1632,no
519,1634,no
520,1646,no
521,1649,no
522,1650,no
523,1652,no
524,1655,no
525,1656,no
526,1658,no
527,1660,no
528,1662,no
529,1664,no
530,1667,no
531,1670,no
532,1673,no
533,1674,no
534,1678,no
535,1683,no
536,1687,no
537,1694,no
538,1696,no
539,1699,no
540,1706,no
541,1713,no
542,1717,no
543,1729,no
544,1730,no
545,1742,no
546,1743,no
547,1746,no
548,1752,no
549,1753,no
550,1755,no
551,1756,no
552,1763,no
553,1766,no
554,1767,no
555,1772,no
556,1776,no
557,1777,no
558,1780,no
559,1781,no
560,1790,no
561,1791,no
562,1795,no
563,1797,no
564,1800,no
565,1805,no
566,1807,no
567,1809,no
568,1813,no
569,1814,no
570,1817,no
571,1819,no
572,1820,no
573,1826,no
574,1829,no
575,1832,no
576,1835,no
577,1837,no
578,1839,no
579,1840,no
580,1847,no
581,1851,no
582,1852,no
583,1864,no
584,1865,no
585,1866,no
586,1872,no
587,1878,no
588,1880,no
589,1886,no
590,1890,no
591,1895,no
592,1897,no
593,1906,no
594,1907,no
595,1912,no
596,1913,no
597,1915,no
598,1921,no
599,1922,no
600,1923,no
601,1926,no
602,1930,no
603,1933,no
604,1934,no
605,1940,no
606,1944,no
607,1945,no
608,1948,no
609,1950,no
610,1953,no
611,1969,no
612,1970,no
613,1973,no
614,1975,no
615,1977,no
616,1983,no
617,1986,no
618,1989,no
619,1994,no
620,1995,no
621,1996,no
622,1997,no
623,2002,no
624,2012,no
625,2013,no
626,2016,no
627,2017,no
628,2019,no
629,2021,no
630,2023,no
631,2028,no
632,2032,no
633,2036,no
634,2042,no
635,2044,no
636,2046,no
637,2047,no
638,2049,no
639,2053,no
640,2059,no
641,2062,no
642,2066,no
643,2069,no
644,2072,no
645,2079,no
646,2080,no
647,2081,no
648,2082,no
649,2092,no
650,2096,no
651,2098,no
652,2100,no
653,2101,no
654,2104,no
655,2109,no
656,2113,no
657,2115,no
658,2125,no
659,2127,no
660,2129,no
661,2132,no
662,2137,no
663,2139,no
664,2142,no
665,2151,no
666,2154,no
667,2160,no
668,2172,no
669,2177,no
670,2185,no
671,2186,no
672,2198,no
673,2199,no
674,2207,no
675,2210,no
676,2212,no
677,2215,no
678,2216,no
679,2219,no
680,2223,no
681,2229,no
682,2231,no
683,2234,no
684,2237,no
685,2239,no
686,2246,no
687,2248,no
688,2249,no
689,2251,no
690,2253,no
691,2254,no
692,2257,no
693,2259,no
694,2262,no
695,2271,no
696,2278,no
697,2279,no
698,2280,no
699,2282,no
700,2285,no
701,2289,no
702,2290,no
703,2292,no
704,2295,no
705,2300,no
706,2303,no
707,2307,no
708,2318,no
709,2324,no
710,2327,no
711,2331,no
712,2333,no
713,2340,no
714,2346,no
715,2351,no
716,2353,no
717,2355,no
718,2360,no
719,2363,no
720,2364,no
721,2368,no
722,2373,no
723,2377,no
724,2382,no
725,2391,no
726,2396,no
727,2397,no
728,2403,no
729,2404,no
730,2408,no
731,2409,no
732,2414,no
733,2415,no
734,2417,no
735,2418,no
736,2419,no
737,2423,no
738,2428,no
739,2438,no
740,2440,no
741,2453,no
742,2454,no
743,2456,no
744,2457,no
745,2461,no
746,2466,no
747,2468,no
748,2469,no
749,2476,no
750,2479,no
751,2482,no
752,2487,no
753,2489,no
754,2493,no
755,2497,no
756,2503,no
757,2507,no
758,2514,no
759,2516,no
760,2519,no
761,2524,no
762,2525,no
763,2530,no
764,2531,no
765,2532,no
766,2535,no
767,2536,no
768,2540,no
769,2541,no
770,2547,no
771,2551,no
772,2553,no
773,2554,no
774,2556,no
775,2557,no
776,2561,no
777,2563,no
778,2568,no
779,2571,no
780,2575,no
781,2582,no
782,2585,no
783,2587,no
784,2588,no
785,2590,no
786,2593,no
787,2598,no
788,2601,no
789,2603,no
790,2607,no
791,2611,no
792,2622,no
793,2623,no
794,2624,no
795,2626,no
796,2627,no
797,2630,no
798,2632,no
799,2643,no
800,2645,no
801,2649,no
802,2655,no
803,2673,no
804,2680,no
805,2687,no
806,2691,no
807,2692,no
808,2694,no
809,2699,no
810,2702,no
811,2706,no
812,2708,no
813,2709,no
814,2711,no
815,2712,no
816,2718,no
817,2719,no
818,2723,no
819,2724,no
820,2726,no
821,2731,no
822,2733,no
823,2735,no
824,2737,no
825,2739,no
826,2740,no
827,2743,no
828,2746,no
829,2748,no
830,2749,no
831,2750,no
832,2752,no
833,2753,no
834,2762,no
835,2763,no
836,2772,no
837,2776,no
838,2778,no
839,2783,no
840,2784,no
841,2787,no
842,2790,no
843,2791,no
844,2798,no
845,2800,no
846,2805,no
847,2810,no
848,2811,no
849,2812,no
850,2814,no
851,2816,no
852,2818,no
853,2824,no
854,2833,no
855,2836,no
856,2846,no
857,2847,no
858,2851,no
859,2855,no
860,2857,no
861,2859,no
862,2861,no
863,2866,no
864,2874,no
865,2879,no
866,2881,no
867,2882,no
868,2885,no
869,2891,no
870,2893,no
871,2894,no
872,2895,no
873,2896,no
874,2898,no
875,2900,no
876,2902,no
877,2903,no
878,2905,no
879,2908,no
880,2910,no
881,2912,no
882,2914,no
883,2917,no
884,2928,no
885,2930,no
886,2933,no
887,2934,no
888,2938,no
889,2940,no
890,2942,no
891,2945,no
892,2946,no
893,2948,no
894,2953,no
895,2954,no
896,2956,no
897,2958,no
898,2967,no
899,2968,no
900,2976,no
901,2977,no
902,2979,no
903,2987,no
904,2992,no
905,2994,no
906,2998,no
907,3001,no
908,3002,no
909,3006,no
910,3008,no
911,3009,no
912,3011,no
913,3013,no
914,3015,no
915,3018,no
916,3019,no
917,3023,no
918,3027,no
919,3029,no
920,3031,no
921,3035,no
922,3040,no
923,3043,no
924,3046,no
925,3047,no
926,3051,no
927,3052,no
928,3057,no
929,3065,no
930,3066,no
931,3069,no
932,3072,no
933,3074,no
934,3076,no
935,3080,no
936,3086,no
937,3092,no
938,3097,no
939,3099,no
940,3120,no
941,3123,no
942,3124,no
943,3126,no
944,3127,no
945,3131,no
946,3133,no
947,3139,no
948,3142,no
949,3146,no
950,3147,no
951,3150,no
952,3151,no
953,3153,no
954,3155,no
955,3157,no
956,3158,no
957,3163,no
958,3165,no
959,3174,no
960,3182,no
961,3183,no
962,3185,no
963,3188,no
964,3192,no
965,3195,no
966,3196,no
967,3197,no
968,3202,no
969,3204,no
970,3205,no
971,3213,no
972,3216,no
973,3217,no
974,3221,no
975,3226,no
976,3229,no
977,3230,no
978,3234,no
979,3236,no
980,3239,no
981,3240,no
982,3243,no
983,3245,no
984,3247,no
985,3252,no
986,3254,no
987,3256,no
988,3257,no
989,3258,no
990,3263,no
991,3273,no
992,3276,no
993,3284,no
994,3290,no
995,3292,no
996,3295,no
997,3297,no
998,3304,no
999,3305,no
1000,3307,no
1001,3315,no
1002,3322,no
1003,3326,no
1004,3335,no
1005,3337,no
1006,3338,no
1007,3339,no
1008,3346,no
1009,3353,no
1010,3357,no
1011,3358,no
1012,3364,no
1013,3367,no
1014,3372,no
1015,3373,no
1016,3374,no
1017,3382,no
1018,3388,no
1019,3389,no
1020,3392,no
1021,3394,no
1022,3395,no
1023,3403,no
1024,3410,no
1025,3411,no
1026,3413,no
1027,3416,no
1028,3422,no
1029,3427,no
1030,3432,no
1031,3436,no
1032,3438,no
1033,3439,no
1034,3442,no
1035,3446,no
1036,3454,no
1037,3457,no
1038,3458,no
1039,3463,no
1040,3464,no
1041,3465,no
1042,3466,no
1043,3467,no
1044,3471,no
1045,3472,no
1046,3473,no
1047,3476,no
1048,3485,no
1049,3486,no
1050,3488,no
1051,3489,no
1052,3490,no
1053,3498,no
1054,3507,no
1055,3517,no
1056,3527,no
1057,3529,no
1058,3532,no
1059,3533,no
1060,3534,no
1061,3538,no
1062,3539,no
1063,3546,no
1064,3547,no
1065,3550,no
1066,3553,no
1067,3559,no
1068,3560,no
1069,3562,no
1070,3580,no
1071,3583,no
1072,3584,no
1073,3585,no
1074,3588,no
1075,3591,no
1076,3593,no
1077,3595,no
1078,3597,no
1079,3600,no
1080,3612,no
1081,3615,no
1082,3616,no
1083,3617,no
1084,3621,no
1085,3625,no
1086,3626,no
1087,3633,no
1088,3639,no
1089,3640,no
1090,3643,no
1091,3650,no
1092,3651,no
1093,3661,no
1094,3663,no
1095,3670,no
1096,3673,no
1097,3674,no
1098,3675,no
1099,3678,no
1100,3679,no
1101,3680,no
1102,3682,no
1103,3685,no
1104,3686,no
1105,3691,no
1106,3692,no
1107,3698,no
1108,3702,no
1109,3705,no
1110,3706,no
1111,3709,no
1112,3711,no
1113,3713,no
1114,3714,no
1115,3719,no
1116,3720,no
1117,3725,no
1118,3729,no
1119,3730,no
1120,3732,no
1121,3736,no
1122,3741,no
1123,3742,no
1124,3744,no
1125,3746,no
1126,3747,no
1127,3754,no
1128,3755,no
1129,3756,no
1130,3757,no
1131,3759,no
1132,3760,no
1133,3762,no
1134,3763,no
1135,3771,no
1136,3774,no
1137,3776,no
1138,3778,no
1139,3779,no
1140,3782,no
1141,3790,no
1142,3794,no
1143,3795,no
1144,3796,no
1145,3798,no
1146,3803,no
1147,3804,no
1148,3808,no
1149,3810,no
1150,3812,no
1151,3813,no
1152,3817,no
1153,3818,no
1154,3819,no
1155,3821,no
1156,3823,no
1157,3825,no
1158,3831,no
1159,3833,no
1160,3834,no
1161,3853,no
1162,3858,no
1163,3859,no
1164,3861,no
1165,3867,no
1166,3870,no
1167,3871,no
1168,3874,no
1169,3876,no
1170,3885,no
1171,3890,no
1172,3895,no
1173,3898,no
1174,3900,no
1175,3901,no
1176,3903,no
1177,3913,no
1178,3914,no
1179,3917,no
1180,3918,no
1181,3919,no
1182,3921,no
1183,3922,no
1184,3926,no
1185,3930,no
1186,3931,no
1187,3932,no
1188,3934,no
1189,3935,no
1190,3941,no
1191,3943,no
1192,3946,no
1193,3951,no
1194,3953,no
1195,3954,no
1196,3956,no
1197,3958,no
1198,3961,no
1199,3969,no
1200,3970,no
1201,3971,no
1202,3972,no
1203,3974,no
1204,3975,no
1205,3981,no
1206,3984,no
1207,3986,no
1208,3987,no
1209,3990,no
1210,4003,no
1211,4016,no
1212,4019,no
1213,4021,no
1214,4023,no
1215,4024,no
1216,4030,no
1217,4031,no
1218,4034,no
1219,4035,no
1220,4046,no
1221,4050,no
1222,4057,no
1223,4060,no
1224,4061,no
1225,4063,no
1226,4064,no
1227,4067,no
1228,4070,no
1229,4071,no
1230,4079,no
1231,4085,no
1232,4086,no
1233,4089,no
1234,4104,no
1235,4105,no
1236,4106,no
1237,4111,no
1238,4126,no
1239,4130,no
1240,4131,no
1241,4132,no
1242,4134,no
1243,4136,no
1244,4146,no
1245,4147,no
1246,4150,no
1247,4155,no
1248,4161,no
1249,4162,no
1250,4164,no
1251,4170,no
1252,4177,no
1253,4181,no
1254,4182,no
1255,4190,no
1256,4191,no
1257,4197,no
1258,4200,no
1259,4202,no
1260,4203,no
1261,4209,no
1262,4213,no
1263,4214,no
1264,4216,no
1265,4217,no
1266,4221,no
1267,4230,no
1268,4238,no
1269,4241,no
1270,4242,no
1271,4250,no
1272,4252,no
1273,4260,no
1274,4263,no
1275,4264,no
1276,4267,no
1277,4268,no
1278,4269,no
1279,4270,no
1280,4272,no
1281,4274,no
1282,4282,no
1283,4283,no
1284,4285,no
1285,4286,no
1286,4289,no
1287,4290,no
1288,4291,no
1289,4292,no
1290,4294,no
1291,4296,no
1292,4300,no
1293,4302,no
1294,4303,no
1295,4308,no
1296,4309,no
1297,4310,no
1298,4317,no
1299,4332,no
1300,4339,no
1301,4341,no
1302,4342,no
1303,4350,no
1304,4354,no
1305,4361,no
1306,4363,no
1307,4366,no
1308,4377,no
1309,4378,no
1310,4381,no
1311,4383,no
1312,4386,no
1313,4392,no
1314,4398,no
1315,4399,no
1316,4400,no
1317,4413,no
1318,4420,no
1319,4421,no
1320,4423,no
1321,4424,no
1322,4435,no
1323,4438,no
1324,4440,no
1325,4442,no
1326,4445,no
1327,4453,no
1328,4454,no
1329,4456,no
1330,4457,no
1331,4460,no
1332,4461,no
1333,4463,no
1334,4469,no
1335,4477,no
1336,4478,no
1337,4483,no
1338,4484,no
1339,4486,no
1340,4488,no
1341,4490,no
1342,4492,no
1343,4495,no
1344,4496,no
1345,4499,no
1346,4500,no
1347,4502,no
1348,4503,no
1349,4504,no
1350,4505,no
1351,4511,no
1352,4513,no
1353,4515,no
1354,4519,no
1355,4522,no
1356,4523,no
1357,4528,no
1358,4545,no
1359,4557,no
1360,4558,no
1361,4559,no
1362,4569,no
1363,4570,no
1364,4571,no
1365,4583,no
1366,4584,no
1367,4593,no
1368,4598,no
1369,4601,no
1370,4605,no
1371,4608,no
1372,4610,no
1373,4614,no
1374,4616,no
1375,4623,no
1376,4632,no
1377,4634,no
1378,4636,no
1379,4638,no
1380,4639,no
1381,4641,no
1382,4642,no
1383,4645,no
1384,4646,no
1385,4650,no
1386,4653,no
1387,4655,no
1388,4660,no
1389,4662,no
1390,4663,no
1391,4667,no
1392,4668,no
1393,4669,no
1394,4670,no
1395,4672,no
1396,4679,no
1397,4680,no
1398,4682,no
1399,4685,no
1400,4688,no
1401,4689,no
1402,4692,no
1403,4693,no
1404,4696,no
1405,4700,no
1406,4709,no
1407,4714,no
1408,4721,no
1409,4722,no
1410,4723,no
1411,4725,no
1412,4728,no
1413,4733,no
1414,4734,no
1415,4738,no
1416,4741,no
1417,4744,no
1418,4749,no
1419,4753,no
1420,4758,no
1421,4764,no
1422,4774,no
1423,4778,no
1424,4787,no
1425,4788,no
1426,4789,no
1427,4800,no
1428,4802,no
1429,4808,no
1430,4814,no
1431,4815,no
1432,4825,no
1433,4828,no
1434,4829,no
1435,4837,no
1436,4838,no
1437,4851,no
1438,4857,no
1439,4863,no
1440,4882,no
1441,4890,no
1442,4893,no
1443,4899,no
1444,4903,no
1445,4904,no
1446,4906,no
1447,4911,no
1448,4914,no
1449,4922,no
1450,4923,no
1451,4925,no
1452,4927,no
1453,4930,no
1454,4934,no
1455,4935,no
1456,4936,no
1457,4941,no
1458,4942,no
1459,4943,no
1460,4944,no
1461,4945,no
1462,4947,no
1463,4951,no
1464,4955,no
1465,4958,no
1466,4961,no
1467,4962,no
1468,4963,no
1469,4974,no
1470,4975,no
1471,4977,no
1472,4985,no
1473,4987,no
1474,4988,no
1475,4990,no
1476,4992,no
1477,4993,no
1478,4994,no
1479,4995,no
1480,4998,no
1481,5002,no
1482,5007,no
1483,5009,no
1484,5012,no
1485,5013,no
1486,5022,no
1487,5026,no
1488,5029,no
1489,5031,no
1490,5041,no
1491,5043,no
1492,5044,no
1493,5046,no
1494,5053,no
1495,5054,no
1496,5058,no
1497,5059,no
1498,5062,no
1499,5063,no
1500,5067,no
1501,5072,no
1502,5084,no
1503,5089,no
1504,5092,no
1505,5096,no
1506,5102,no
1507,5107,no
1508,5109,no
1509,5112,no
1510,5120,no
1511,5121,no
1512,5127,no
1513,5134,no
1514,5136,no
1515,5137,no
1516,5140,no
1517,5141,no
1518,5142,no
1519,5145,no
1520,5149,no
1521,5151,no
1522,5152,no
1523,5153,no
1524,5154,no
1525,5156,no
1526,5158,no
1527,5162,no
1528,5164,no
1529,5165,no
1530,5166,no
1531,5167,no
1532,5178,no
1533,5188,no
1534,5192,no
1535,5195,no
1536,5196,no
1537,5197,no
1538,5199,no
1539,5203,no
1540,5204,no
1541,5206,no
1542,5208,no
1543,5211,no
1544,5212,no
1545,5213,no
1546,5216,no
1547,5222,no
1548,5226,no
1549,5227,no
1550,5242,no
1551,5245,no
1552,5248,no
1553,5249,no
1554,5254,no
1555,5256,no
1556,5258,no
1557,5260,no
1558,5261,no
1559,5262,no
1560,5264,no
1561,5266,no
1562,5268,no
1563,5269,no
1564,5271,no
1565,5280,no
1566,5281,no
1567,5285,no
1568,5286,no
1569,5292,no
1570,5297,no
1571,5300,no
1572,5302,no
1573,5304,no
1574,5310,no
1575,5314,no
1576,5320,no
1577,5322,no
1578,5328,no
1579,5329,no
1580,5331,no
1581,5347,no
1582,5353,no
1583,5355,no
1584,5359,no
1585,5360,no
1586,5361,no
1587,5363,no
1588,5371,no
1589,5378,no
1590,5379,no
1591,5401,no
1592,5404,no
1593,5405,no
1594,5409,no
1595,5413,no
1596,5414,no
1597,5420,no
1598,5422,no
1599,5431,no
1600,5433,no
1601,5436,no
1602,5437,no
1603,5438,no
1604,5443,no
1605,5445,no
1606,5446,no
1607,5447,no
1608,5448,no
1609,5450,no
1610,5453,no
1611,5460,no
1612,5463,no
1613,5468,no
1614,5472,no
1615,5483,no
1616,5487,no
1617,5491,no
1618,5493,no
1619,5498,no
1620,5505,no
1621,5512,no
1622,5517,no
1623,5518,no
1624,5519,no
1625,5529,no
1626,5535,no
1627,5537,no
1628,5541,no
1629,5544,no
1630,5559,no
1631,5561,no
1632,5562,no
1633,5563,no
1634,5566,no
1635,5567,no
1636,5574,no
1637,5579,no
1638,5581,no
1639,5584,no
1640,5587,no
1641,5588,no
1642,5592,no
1643,5593,no
1644,5597,no
1645,5599,no
1646,5600,no
1647,5608,no
1648,5609,no
1649,5619,no
1650,5622,no
1651,5624,no
1652,5627,no
1653,5628,no
1654,5629,no
1655,5635,no
1656,5642,no
1657,5644,no
1658,5645,no
1659,5646,no
1660,5648,no
1661,5651,no
1662,5653,no
1663,5665,no
1664,5666,no
1665,5668,no
1666,5675,no
1667,5677,no
1668,5681,no
1669,5683,no
1670,5685,no
1671,5687,no
1672,5698,no
1673,5703,no
1674,5706,no
1675,5714,no
1676,5716,no
1677,5718,no
1678,5720,no
1679,5722,no
1680,5725,no
1681,5726,no
1682,5727,no
1683,5734,no
1684,5741,no
1685,5745,no
1686,5749,no
1687,5753,no
1688,5754,no
1689,5760,no
1690,5761,no
1691,5766,no
1692,5768,no
1693,5769,no
1694,5770,no
1695,5777,no
1696,5780,no
1697,5783,no
1698,5785,no
1699,5786,no
1700,5791,no
1701,5795,no
1702,5800,no
1703,5801,no
1704,5813,no
1705,5815,no
1706,5818,no
1707,5820,no
1708,5827,no
1709,5835,no
1710,5838,no
1711,5841,no
1712,5844,no
1713,5848,no
1714,5849,no
1715,5850,no
1716,5852,no
1717,5855,no
1718,5858,no
1719,5863,no
1720,5868,no
1721,5871,no
1722,5874,no
1723,5879,no
1724,5883,no
1725,5887,no
1726,5890,no
1727,5900,no
1728,5901,no
1729,5907,no
1730,5908,no
1731,5910,no
1732,5913,no
1733,5921,no
1734,5922,no
1735,5925,no
1736,5927,no
1737,5928,no
1738,5932,no
1739,5933,no
1740,5937,no
1741,5939,no
1742,5941,no
1743,5947,no
1744,5948,no
1745,5951,no
1746,5953,no
1747,5954,no
1748,5956,no
1749,5957,no
1750,5958,no
1751,5960,no
1752,5964,no
1753,5968,no
1754,5971,no
1755,5977,no
1756,5983,no
1757,5987,no
1758,5989,no
1759,5990,no
1760,5995,no
1761,5996,no
1762,5997,no
1763,6012,no
1764,6013,no
1765,6014,no
1766,6017,no
1767,6018,no
1768,6020,no
1769,6023,no
1770,6025,no
1771,6026,no
1772,6034,no
1773,6042,no
1774,6054,no
1775,6061,no
1776,6062,no
1777,6063,no
1778,6070,no
1779,6071,no
1780,6073,no
1781,6077,no
1782,6078,no
1783,6080,no
1784,6081,no
1785,6087,no
1786,6090,no
1787,6091,no
1788,6092,no
1789,6093,no
1790,6097,no
1791,6102,no
1792,6108,no
1793,6109,no
1794,6113,no
1795,6117,no
1796,6125,no
1797,6126,no
1798,6130,no
1799,6132,no
1800,6134,no
1801,6141,no
1802,6144,no
1803,6147,no
1804,6149,no
1805,6152,no
1806,6160,no
1807,6161,no
1808,6162,no
1809,6164,no
1810,6174,no
1811,6181,no
1812,6185,no
1813,6191,no
1814,6192,no
1815,6193,no
1816,6198,no
1817,6200,no
1818,6207,no
1819,6214,no
1820,6215,no
1821,6225,no
1822,6236,no
1823,6240,no
1824,6245,no
1825,6246,no
1826,6248,no
1827,6252,no
1828,6261,no
1829,6263,no
1830,6264,no
1831,6265,no
1832,6267,no
1833,6269,no
1834,6272,no
1835,6273,no
1836,6274,no
1837,6277,no
1838,6280,no
1839,6283,no
1840,6291,no
1841,6296,no
1842,6297,no
1843,6304,no
1844,6311,no
1845,6315,no
1846,6320,no
1847,6321,no
1848,6326,no
1849,6327,no
1850,6330,no
1851,6331,no
1852,6332,no
1853,6333,no
1854,6334,no
1855,6336,no
1856,6337,no
1857,6338,no
1858,6339,no
1859,6344,no
1860,6346,no
1861,6351,no
1862,6354,no
1863,6357,no
1864,6358,no
1865,6361,no
1866,6362,no
1867,6363,no
1868,6366,no
1869,6369,no
1870,6372,no
1871,6379,no
1872,6380,no
1873,6381,no
1874,6383,no
1875,6385,no
1876,6387,no
1877,6389,no
1878,6391,no
1879,6399,no
1880,6403,no
1881,6406,no
1882,6408,no
1883,6410,no
1884,6411,no
1885,6413,no
1886,6416,no
1887,6419,no
1888,6420,no
1889,6423,no
1890,6432,no
1891,6435,no
1892,6436,no
1893,6438,no
1894,6439,no
1895,6441,no
1896,6446,no
1897,6451,no
1898,6453,no
1899,6457,no
1900,6463,no
1901,6468,no
1902,6480,no
1903,6482,no
1904,6483,no
1905,6489,no
1906,6492,no
1907,6495,no
1908,6496,no
1909,6506,no
1910,6512,no
