Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
DRB01,506.701041814,OUT019
NCC43,5848.53591723,OUT027
FDX13,565.576510558,OUT019
FDM22,865.880996467,OUT049
FDJ03,1063.58331559,OUT027
FDU14,3808.31525342,OUT018
FDB33,379.823080359,OUT010
FDP27,3061.19498399,OUT046
FDO38,162.915863562,OUT010
FDE28,5848.53591723,OUT027
FDO27,1541.4172921,OUT035
DRL23,2878.32947458,OUT027
FDS28,947.277354082,OUT046
FDX24,1541.69370819,OUT013
FDZ02,1541.4172921,OUT035
FDL46,1952.43588186,OUT045
FDS60,4846.25205787,OUT027
NCO06,659.67236522,OUT017
FDO16,1432.0103597,OUT035
FDC60,1448.22596559,OUT049
FDA48,3544.57477443,OUT018
FDZ36,5159.38276108,OUT027
FDK27,2013.36223569,OUT045
FDW23,661.591025109,OUT018
FDM14,1637.72035197,OUT018
FDM14,1571.9664195,OUT013
FDW60,2876.17460464,OUT018
FDE21,1949.67250668,OUT013
NCM42,1579.1923584,OUT035
FDY59,226.581462812,OUT010
DRI49,1356.83644757,OUT049
FDT28,365.051882306,OUT019
FDQ22,664.086983487,OUT018
FDR60,1308.2527921,OUT049
FDC50,233.797975232,OUT019
FDV24,2491.37455671,OUT013
DRF48,492.519795027,OUT010
FDQ47,665.742829818,OUT046
DRN36,1541.4172921,OUT049
NCY06,2027.86158116,OUT035
FDE52,1492.30967711,OUT035
NCB54,2027.86158116,OUT045
NCF31,2494.14917616,OUT035
FDJ08,5186.05483287,OUT027
NCC07,1569.69481744,OUT017
NCD19,1240.94226437,OUT027
FDL46,1970.9745099,OUT049
FDM20,3909.4619513,OUT045
NCI06,451.914868185,OUT010
DRM11,4083.69011936,OUT035
NCH07,2554.7597923,OUT018
FDS23,2027.86158116,OUT013
FDO49,729.309517732,OUT018
FDS35,1069.61753831,OUT049
DRK39,1390.29215753,OUT045
DRI39,921.596071739,OUT049
FDV04,2554.7597923,OUT017
NCN14,3057.48526964,OUT035
FDH08,3805.49891276,OUT013
FDS20,3058.73633799,OUT046
FDV40,1111.06960825,OUT049
FDZ48,261.630719019,OUT010
FDS24,2530.73244417,OUT027
FDK44,2859.62386811,OUT049
FDS48,2486.7375554,OUT045
FDK26,496.114410961,OUT010
FDD23,3058.73633799,OUT045
NCH54,2571.71014466,OUT017
NCP14,238.159230052,OUT010
FDM60,128.974790356,OUT010
FDV24,2491.37455671,OUT017
FDH08,3604.50310679,OUT018
FDS12,3009.3825825,OUT027
FDR39,4891.95267372,OUT027
FDP12,1008.99894789,OUT027
DRF60,5848.53591723,OUT027
FDC09,1569.69481744,OUT035
FDF50,3066.23222777,OUT018
FDG28,3906.60826217,OUT035
NCE19,915.888359523,OUT017
NCM53,251.680624918,OUT010
NCN18,1647.22507307,OUT049
FDF32,3122.51255928,OUT035
FDF11,3887.48633781,OUT013
DRI59,3776.37732788,OUT049
NCG54,2762.63055054,OUT035
FDM44,1564.70977859,OUT046
FDT57,3658.77574905,OUT018
FDV24,2489.6377956,OUT046
FDI50,568.246931573,OUT019
FDS09,754.642200921,OUT035
NCC31,4087.828293,OUT027
FDQ07,572.352605906,OUT019
FDC22,3058.73633799,OUT017
FDZ56,2759.33396791,OUT046
FDZ40,128.974790356,OUT019
FDS46,2927.14848286,OUT027
DRD24,2042.35525203,OUT045
FDV45,3057.48526964,OUT017
FDL26,2504.32813769,OUT045
FDA56,2015.94812621,OUT018
FDN27,1962.75474986,OUT046
FDM20,3896.76200802,OUT049
FDO16,1390.29215753,OUT017
FDL03,3057.48526964,OUT035
FDE58,1952.43588186,OUT046
FDI02,2920.49022676,OUT027
NCC55,128.974790356,OUT019
FDR03,3300.05175945,OUT018
FDB14,1526.82082173,OUT017
FDR45,3891.92495133,OUT013
NCN07,2027.86158116,OUT017
FDM51,245.617129071,OUT019
FDT52,5848.53591723,OUT027
FDL26,2493.95441437,OUT046
NCZ42,3877.36178471,OUT046
DRI47,363.720205793,OUT019
FDW40,2047.52849332,OUT013
FDN34,2758.12639025,OUT046
FDS01,2894.17571347,OUT035
NCG55,1947.17547682,OUT045
FDC11,1447.85067705,OUT035
FDX35,3590.1750342,OUT018
NCB06,2558.06456654,OUT046
FDR09,570.579956009,OUT019
FDC53,1541.4172921,OUT017
FDY45,4041.85870158,OUT013
FDA22,384.935407894,OUT010
FDE02,1541.4172921,OUT035
FDW21,1557.39657409,OUT045
FDV34,1132.32692473,OUT046
FDS59,1579.1923584,OUT049
NCW17,2027.86158116,OUT017
NCK54,1952.43588186,OUT046
FDG17,568.246931573,OUT019
FDG35,2859.62386811,OUT017
FDD08,128.974790356,OUT010
NCO07,3683.24462819,OUT017
FDJ10,277.436865853,OUT010
FDW36,1569.69481744,OUT017
FDW21,236.179513729,OUT010
FDY19,1960.11574202,OUT017
DRE03,778.908563851,OUT013
NCC55,666.583974612,OUT049
FDH52,134.9494028,OUT010
FDO09,4076.99246375,OUT017
FDU43,3895.90037278,OUT045
FDX09,424.36517862,OUT010
FDH40,203.705317588,OUT019
FDW58,1569.69481744,OUT017
FDC47,3790.94025047,OUT017
NCR41,1535.51291849,OUT035
DRG49,3893.96493974,OUT035
FDC52,4074.99622468,OUT027
FDY13,1135.11154444,OUT046
FDY35,718.135319948,OUT013
FDI35,3053.47320596,OUT017
NCU18,2047.52849332,OUT049
FDY33,2554.7597923,OUT018
FDC15,4200.51799782,OUT027
FDU01,3057.48526964,OUT049
NCU42,2760.89378943,OUT046
NCV29,2876.17460464,OUT018
NCY30,3057.48526964,OUT017
FDQ46,1686.04536332,OUT049
FDG58,4087.828293,OUT027
FDK33,3674.80762867,OUT017
NCD07,1942.46091028,OUT045
NCX29,4007.24990657,OUT027
NCT42,2483.87106785,OUT013
DRN59,728.656569477,OUT035
FDI44,1307.86149235,OUT035
FDA45,2880.22140895,OUT049
FDP31,1062.72995315,OUT045
FDY01,1942.46091028,OUT046
FDT09,2027.86158116,OUT018
DRH03,2826.45752755,OUT027
FDA36,3056.01945942,OUT018
NCF31,2495.69117548,OUT017
FDG14,2491.37455671,OUT049
FDG28,5848.53591723,OUT027
FDU14,4008.11963572,OUT049
FDY47,284.778390079,OUT019
FDI56,1493.30296298,OUT049
DRD01,1022.17974141,OUT013
FDM22,944.737208191,OUT046
FDH33,716.518053809,OUT013
DRZ24,1962.75474986,OUT013
NCQ38,1569.69481744,OUT046
FDO16,2337.01269798,OUT027
FDU07,4055.28840061,OUT027
NCB07,3057.48526964,OUT013
FDU48,2027.86158116,OUT045
NCM43,2575.02533746,OUT045
FDR31,361.417495955,OUT010
DRK49,664.086983487,OUT018
NCI30,572.873157762,OUT010
DRD60,3020.45164126,OUT017
NCG19,3837.51435152,OUT046
FDH12,1569.69481744,OUT035
FDM32,1522.25713241,OUT035
FDM27,2506.49674243,OUT035
NCU53,4267.95610119,OUT027
NCQ18,1541.4172921,OUT046
FDS10,2947.6762376,OUT013
FDB33,4200.51799782,OUT027
FDI12,1519.74712266,OUT013
NCW42,3756.03993503,OUT013
NCC06,2027.86158116,OUT018
FDW02,2024.96203332,OUT017
NCD43,1569.69481744,OUT017
FDM57,1407.38654873,OUT018
FDA58,3854.81222979,OUT017
FDK56,3058.73633799,OUT046
FDP52,3826.95953478,OUT045
FDW20,2021.77269577,OUT018
FDS52,1549.16759721,OUT049
NCT29,2005.39661785,OUT018
NCL54,2876.3153284,OUT013
FDC05,3069.41819908,OUT045
FDF34,3062.78418687,OUT035
FDP03,3009.3825825,OUT027
FDD32,196.585653366,OUT010
FDZ10,2027.86158116,OUT045
FDZ40,912.867273976,OUT035
FDD51,664.912188533,OUT018
NCY30,435.535648026,OUT019
FDP58,3696.62374285,OUT017
FDV49,4076.52395836,OUT017
FDY24,128.974790356,OUT019
NCO55,1571.9664195,OUT017
FDR13,1952.43588186,OUT017
FDS51,1021.11344844,OUT017
FDP26,1569.69481744,OUT045
NCB54,3009.3825825,OUT027
FDF32,3061.53311852,OUT017
FDN31,3056.01945942,OUT018
DRM48,659.67236522,OUT017
FDN20,2753.33414043,OUT049
DRL01,3813.72768332,OUT046
FDV56,1571.9664195,OUT049
DRH13,2891.63559489,OUT027
FDA03,2483.87106785,OUT017
FDF47,5848.53591723,OUT027
FDX32,2482.13430674,OUT046
FDX57,1541.4172921,OUT049
NCA30,3057.48526964,OUT045
FDO49,781.740588054,OUT013
FDL04,247.302049082,OUT019
DRM48,665.742829818,OUT035
FDR16,3673.63847061,OUT013
NCC19,3056.01945942,OUT018
NCE42,3858.26829944,OUT045
FDY24,914.787297027,OUT017
FDH19,2859.62386811,OUT049
FDJ46,2860.87493646,OUT013
FDN45,571.063773957,OUT010
FDY08,2030.79542798,OUT035
FDZ37,1444.40649485,OUT035
NCT30,732.547958128,OUT045
DRY23,664.086983487,OUT018
NCZ30,2015.94812621,OUT018
FDC44,1930.30579801,OUT018
FDB45,1569.69481744,OUT035
FDY04,2568.00043031,OUT013
FDM27,2553.02303119,OUT046
FDZ43,3888.99026882,OUT017
FDT39,365.533341786,OUT019
NCC06,281.54672808,OUT019
FDL15,4087.828293,OUT027
FDL57,4055.41360473,OUT017
FDU08,1541.4172921,OUT046
FDK40,4082.46192837,OUT017
FDQ12,567.421994234,OUT010
FDS48,2491.37455671,OUT017
FDP09,3679.2811119,OUT045
FDW21,1541.4172921,OUT049
FDY25,3020.45164126,OUT035
DRE13,1440.98796156,OUT017
FDV43,128.974790356,OUT019
FDD22,1683.68932082,OUT045
FDM46,231.134649464,OUT019
NCO30,482.164713255,OUT010
FDM25,2859.13817535,OUT046
NCN41,2015.94812621,OUT049
FDU24,1529.49802508,OUT045
FDZ50,3058.73633799,OUT046
FDP45,3993.56899247,OUT013
NCM54,2024.96203332,OUT045
FDW10,423.867937345,OUT019
FDP20,2027.86158116,OUT017
FDK32,2489.6377956,OUT046
FDN52,1458.18221016,OUT049
FDM58,1647.22507307,OUT045
FDZ46,2916.83422558,OUT027
NCA18,1952.43588186,OUT018
FDD35,2015.94812621,OUT046
NCK31,735.37998233,OUT035
FDI40,2833.55250074,OUT027
FDT50,234.944550163,OUT019
NCT06,2572.03750801,OUT046
FDT31,3059.94391565,OUT035
FDT45,865.880996467,OUT049
FDT13,3058.73633799,OUT045
FDO50,1495.58253333,OUT045
NCU18,276.168251447,OUT010
NCR54,3057.48526964,OUT049
NCO18,2878.75559873,OUT018
FDU09,917.327442919,OUT045
FDT13,3056.01945942,OUT018
FDE09,1686.04536332,OUT046
NCK53,245.617129071,OUT019
FDG45,3677.52964145,OUT049
DRH15,682.692916849,OUT035
FDO21,568.246931573,OUT019
FDD14,5151.43069419,OUT027
FDC09,1569.69481744,OUT046
FDH45,1014.2387712,OUT027
FDV32,1113.23070502,OUT046
FDG12,1973.36009048,OUT035
FDS32,2030.79542798,OUT013
NCL55,3810.76522699,OUT018
DRE01,3892.61757878,OUT035
DRE15,1308.65889395,OUT049
NCL42,3903.59217475,OUT045
FDP31,1209.40760402,OUT013
FDN33,1529.49802508,OUT018
FDZ59,2575.74722235,OUT046
FDE45,427.558049099,OUT010
FDJ07,1962.75474986,OUT013
FDQ45,3056.01945942,OUT018
FDM33,5848.53591723,OUT027
FDO15,152.453375142,OUT010
FDM46,1541.69370819,OUT013
FDR03,3428.03426559,OUT045
FDY49,2665.5540118,OUT018
FDQ60,1970.9745099,OUT045
FDW10,2859.62386811,OUT049
FDO51,681.997663177,OUT049
FDJ40,1576.65042702,OUT018
FDS20,3056.01945942,OUT018
FDU45,1770.93234731,OUT013
FDV02,2758.61208302,OUT035
FDN09,3897.30178428,OUT046
NCM55,5159.38276108,OUT027
FDN23,2476.42514091,OUT018
FDY31,364.129149837,OUT010
FDW03,238.243908197,OUT010
FDD14,3059.94391565,OUT046
FDV23,2024.96203332,OUT017
DRI03,2860.87493646,OUT045
FDN13,1541.4172921,OUT035
FDF45,1329.11121944,OUT027
FDU46,1447.85067705,OUT035
FDB57,3752.8140066,OUT049
FDV12,1541.4172921,OUT049
FDQ58,2491.37455671,OUT013
NCA18,1944.77227362,OUT017
FDH52,1012.00220224,OUT049
FDM24,2486.7375554,OUT018
NCP43,4891.95267372,OUT027
NCO18,428.171060019,OUT019
FDM32,1504.64454837,OUT017
NCL07,660.513510014,OUT017
FDK03,4004.44112641,OUT013
FDP59,1569.69481744,OUT017
FDQ24,4000.59753926,OUT049
FDQ16,1579.1923584,OUT018
FDU44,2559.80132765,OUT013
FDH28,128.974790356,OUT010
FDV28,128.974790356,OUT019
FDM22,905.441876802,OUT045
FDR56,3058.73633799,OUT046
FDV39,3062.78418687,OUT049
FDU37,175.665193198,OUT019
FDQ11,569.628520639,OUT010
FDX02,3768.5099131,OUT045
NCS42,1526.82082173,OUT018
FDY57,2826.45752755,OUT027
FDB21,3880.78393357,OUT049
FDE28,3814.97921816,OUT017
FDQ55,1930.30579801,OUT017
FDA48,3748.60837324,OUT049
FDZ19,2860.87493646,OUT045
NCC43,4005.89929379,OUT045
NCV18,1406.60686821,OUT046
NCA42,2554.7597923,OUT018
FDY45,4052.67901191,OUT046
NCC30,2947.6762376,OUT045
FDM57,1517.4159876,OUT013
FDL09,385.046060872,OUT010
FDB09,3009.3825825,OUT027
FDT44,1970.9745099,OUT035
NCT06,4260.00868845,OUT027
FDX26,3057.48526964,OUT049
FDK32,2495.69117548,OUT013
DRA12,2060.52607238,OUT046
FDO46,494.882213296,OUT010
FDE52,1520.83452089,OUT013
NCH42,3811.28504331,OUT045
FDV08,670.157448085,OUT035
FDB47,3492.71652375,OUT018
FDC28,261.533870821,OUT010
FDD22,1933.09563489,OUT046
FDS07,2920.49022676,OUT027
DRI13,3698.69810711,OUT045
FDG32,3555.40874326,OUT018
FDU14,4013.99990511,OUT017
FDD28,129.32687981,OUT019
NCP41,1579.1923584,OUT017
FDS08,2863.33358246,OUT049
FDX47,2544.80546656,OUT045
FDC53,243.383856096,OUT019
FDQ19,3900.98839503,OUT035
FDL14,2495.69117548,OUT045
FDM33,569.682184891,OUT019
FDA51,1930.30579801,OUT045
FDZ27,726.47749353,OUT018
FDT04,670.157448085,OUT046
DRC13,2024.96203332,OUT049
FDR16,5848.53591723,OUT027
FDQ03,5848.53591723,OUT027
FDE38,2696.97705809,OUT035
DRH23,1256.10566404,OUT027
FDT11,495.30105747,OUT019
FDD09,2966.65210079,OUT035
FDR40,1387.70678563,OUT045
FDX07,3057.48526964,OUT017
FDR07,1541.4172921,OUT035
FDA51,1937.74402523,OUT017
FDT59,567.792426224,OUT019
FDF20,3058.73633799,OUT017
FDR13,1942.46091028,OUT045
FDY26,3682.65261894,OUT049
FDW04,2027.86158116,OUT017
FDK52,3802.69526955,OUT017
FDN60,2542.9013267,OUT049
FDM09,412.776817948,OUT019
FDP46,1458.18221016,OUT049
FDB50,175.665193198,OUT019
NCQ29,4060.5965941,OUT049
FDP16,5848.53591723,OUT027
FDX33,2563.59948192,OUT018
FDP07,512.724331084,OUT010
FDN22,4007.58772753,OUT046
FDF39,4070.79169448,OUT049
FDS21,1006.50485657,OUT017
NCM42,1571.9664195,OUT013
FDK50,381.283831357,OUT019
DRF13,4055.28840061,OUT027
FDH35,2568.00043031,OUT018
FDP60,1541.4172921,OUT018
DRJ49,3009.3825825,OUT027
NCT42,364.966694827,OUT019
FDE38,2684.28899635,OUT049
FDI04,3071.87684508,OUT049
NCH54,2548.76512906,OUT045
FDT56,942.338159657,OUT049
DRD15,3611.57728435,OUT018
FDV58,3057.48526964,OUT013
FDP21,3061.19498399,OUT049
FDH05,3812.36008302,OUT013
FDR10,4246.19695411,OUT027
NCP06,2483.87106785,OUT045
FDF33,1569.69481744,OUT049
DRK37,3058.73633799,OUT013
DRH49,1397.17940167,OUT045
FDT58,2679.39847399,OUT013
FDD41,1569.69481744,OUT018
FDP40,1647.22507307,OUT018
FDM51,2847.9557139,OUT027
FDO45,200.881446052,OUT010
FDW33,238.159230052,OUT010
FDY24,912.867273976,OUT045
FDB10,567.029739309,OUT010
FDM40,2050.46781414,OUT035
NCI06,3020.45164126,OUT017
FDW12,338.497026408,OUT019
FDX48,4087.828293,OUT027
NCW05,2878.32947458,OUT027
FDX27,1541.4172921,OUT017
DRM37,3069.41819908,OUT045
FDA38,3887.83502761,OUT045
FDR36,670.157448085,OUT046
FDZ45,3090.22212695,OUT046
FDG05,2554.7597923,OUT017
FDK28,4072.28303153,OUT013
FDV47,1443.31909661,OUT045
FDN21,2559.80132765,OUT045
FDP20,3009.3825825,OUT027
FDI35,3053.47320596,OUT045
DRY23,717.343258855,OUT013
FDA56,2015.94812621,OUT017
FDB09,2015.94812621,OUT013
NCO26,2927.14848286,OUT027
FDQ49,2517.6496698,OUT018
FDI52,3009.3825825,OUT027
FDZ44,2927.14848286,OUT027
FDZ09,2571.05739055,OUT018
FDY03,1927.50044842,OUT049
NCG42,2027.86158116,OUT017
DRI13,5848.53591723,OUT027
FDQ32,2024.96203332,OUT013
FDW16,1495.58253333,OUT035
FDU27,732.547958128,OUT046
FDR28,382.215267703,OUT010
FDQ49,380.694055078,OUT010
FDS37,1947.17547682,OUT046
FDW26,3538.06838847,OUT018
FDX12,3700.42842913,OUT018
NCP06,2486.7375554,OUT013
FDW45,363.753635522,OUT010
NCN30,1535.51291849,OUT049
FDN24,865.880996467,OUT049
NCL41,1008.99894789,OUT027
FDR02,261.986709338,OUT019
FDD09,448.440042202,OUT010
FDS33,200.796767907,OUT010
FDU22,2005.39661785,OUT045
FDI53,2569.25149865,OUT013
DRH01,2859.62386811,OUT049
FDX32,2075.55345869,OUT013
NCP30,664.086983487,OUT018
FDB60,3058.73633799,OUT045
FDB14,1529.49802508,OUT049
NCP02,920.118518252,OUT035
FDJ10,2030.79542798,OUT017
FDG34,1647.22507307,OUT046
NCB18,1458.18221016,OUT017
FDM16,1091.49837773,OUT049
FDW25,1414.27379286,OUT018
FDB35,220.03424639,OUT010
DRN11,2119.19041969,OUT013
FDF41,567.785916691,OUT019
FDH16,1464.52901121,OUT045
NCQ50,3500.23862021,OUT018
DRH23,925.128365784,OUT018
DRJ37,2491.37455671,OUT013
DRJ24,5159.38276108,OUT027
FDY16,3057.48526964,OUT035
FDQ27,1569.69481744,OUT045
FDZ33,2483.87106785,OUT045
FDF29,2027.86158116,OUT045
FDA08,2569.25149865,OUT049
FDG31,1111.23985872,OUT046
FDE34,468.489773209,OUT019
NCR30,1432.4551865,OUT027
FDV33,4071.49849342,OUT035
DRZ24,2010.25626466,OUT018
NCL54,2860.87493646,OUT035
FDR12,2863.33358246,OUT049
NCC54,3873.34180431,OUT046
DRN59,775.017175201,OUT013
FDX50,262.49328498,OUT019
FDV31,4846.25205787,OUT027
NCA29,4482.7694773,OUT027
FDW60,2876.3153284,OUT049
FDX08,3058.73633799,OUT017
DRD49,3845.5564085,OUT013
FDD33,3819.17116069,OUT046
FDW35,716.518053809,OUT013
FDJ36,1569.69481744,OUT017
FDV51,2616.59925268,OUT035
FDW36,1569.69481744,OUT046
FDH35,2572.03750801,OUT046
NCS30,3009.3825825,OUT027
FDN49,660.513510014,OUT017
FDL08,3704.47972218,OUT018
FDI09,3884.4419794,OUT013
FDP19,2027.86158116,OUT018
FDU21,128.974790356,OUT010
NCP41,1571.9664195,OUT045
FDY10,1811.47135208,OUT013
FDP12,659.67236522,OUT018
NCN26,1944.77227362,OUT049
FDK44,2859.62386811,OUT013
FDC28,1579.1923584,OUT049
FDJ41,5848.53591723,OUT027
NCT29,2019.04012312,OUT035
NCH42,569.144702691,OUT019
FDU60,2675.43052708,OUT018
FDS02,3058.73633799,OUT045
FDC51,2015.94812621,OUT046
FDU03,3057.48526964,OUT013
FDX39,3687.71811143,OUT045
NCY05,128.974790356,OUT010
NCL06,5848.53591723,OUT027
FDD32,1324.09972055,OUT035
NCN41,2015.94812621,OUT045
NCX53,2047.52849332,OUT049
FDU57,365.2490421,OUT019
FDQ23,1569.69481744,OUT046
FDQ52,4005.0836485,OUT045
FDC14,670.157448085,OUT045
FDY09,2876.3153284,OUT035
FDQ28,2506.49674243,OUT045
FDV25,3757.91915542,OUT046
FDJ07,1947.17547682,OUT035
DRB25,1569.69481744,OUT049
FDK52,569.682184891,OUT019
FDY52,1392.11115531,OUT027
FDB28,3062.78418687,OUT046
FDT36,665.742829818,OUT035
FDV25,3764.28002745,OUT017
NCN07,3009.3825825,OUT027
FDC57,3057.48526964,OUT017
FDQ03,3661.58198277,OUT018
FDU23,2679.39847399,OUT017
NCX41,3687.71811143,OUT035
NCD06,731.351276866,OUT035
FDW08,1571.9664195,OUT045
NCU29,2481.21999628,OUT017
NCE06,2562.25997365,OUT013
FDV52,269.553069599,OUT010
FDB02,2876.3153284,OUT017
NCR18,670.982653131,OUT045
FDK16,1535.51291849,OUT049
NCQ29,570.659028602,OUT010
FDZ01,245.056606053,OUT019
FDW27,2539.24142618,OUT035
FDD17,3657.45073184,OUT018
FDW39,2876.3153284,OUT013
DRH59,1072.41482716,OUT045
FDS52,1564.70977859,OUT013
FDU40,5741.82390199,OUT027
NCF54,2862.08251412,OUT013
FDH46,1569.69481744,OUT045
NCP14,1569.69481744,OUT049
FDH50,3058.73633799,OUT049
DRF15,366.197508798,OUT010
FDV27,2530.73244417,OUT027
NCJ06,2010.25626466,OUT049
FDN02,3295.21979424,OUT018
FDQ51,728.656569477,OUT049
FDQ07,3758.49787529,OUT017
FDS45,1569.69481744,OUT049
NCJ06,2015.94812621,OUT045
FDD36,1952.43588186,OUT035
FDY25,3058.73633799,OUT045
FDU52,2493.95441437,OUT046
DRK47,3799.05079934,OUT017
NCL30,2027.86158116,OUT017
FDN22,4015.6966015,OUT035
NCF30,3009.3825825,OUT027
FDK03,4053.1177839,OUT035
FDT45,915.888359523,OUT017
NCC54,5848.53591723,OUT027
FDP08,3054.76839108,OUT018
FDU44,2567.51473754,OUT046
DRG39,865.880996467,OUT035
FDU32,2015.94812621,OUT049
FDY27,2923.68064386,OUT049
NCP54,2015.94812621,OUT013
NCZ41,2024.96203332,OUT049
DRL49,2177.94021053,OUT013
FDI05,1271.4832917,OUT018
FDY56,3796.89114681,OUT045
DRC13,2024.96203332,OUT013
NCV29,2957.04980082,OUT017
FDR24,1492.30967711,OUT049
FDZ34,3056.01945942,OUT018
FDP37,2024.96203332,OUT035
FDX08,4891.95267372,OUT027
FDS57,2047.52849332,OUT045
NCG18,1569.69481744,OUT049
FDK25,2751.86833021,OUT018
FDH53,1335.33962754,OUT049
DRI59,3566.11747222,OUT018
FDA52,2875.90365376,OUT046
FDT20,128.974790356,OUT010
FDE36,382.208026276,OUT019
FDI24,2860.87493646,OUT017
FDB28,3085.76215732,OUT018
FDV11,2878.89148321,OUT017
FDP01,2493.95441437,OUT046
FDD34,4246.19695411,OUT027
FDJ50,1096.58162245,OUT027
FDZ44,1962.75474986,OUT013
DRO59,1130.28392343,OUT035
DRB48,670.157448085,OUT045
FDR21,2856.90698955,OUT018
NCE42,571.524788839,OUT010
FDO23,1529.49802508,OUT046
NCE30,3490.04397077,OUT018
FDQ22,665.742829818,OUT035
FDY01,1942.46091028,OUT045
FDS08,2878.89148321,OUT017
FDG28,3704.19323767,OUT018
FDQ51,726.47749353,OUT018
FDB05,3996.53184265,OUT017
FDO56,1952.43588186,OUT049
FDE02,1524.47746215,OUT018
FDN45,3758.49787529,OUT017
FDS09,781.740588054,OUT013
NCA54,3018.67798383,OUT018
FDP09,568.092719287,OUT010
FDC53,1541.4172921,OUT045
NCM55,3058.73633799,OUT017
FDL09,2755.89520445,OUT018
FDA11,232.81957678,OUT019
FDA50,1535.51291849,OUT045
FDC23,2947.6762376,OUT017
FDE22,2557.2184383,OUT049
FDD23,3058.73633799,OUT046
NCA29,2858.66234463,OUT049
FDK38,2482.13430674,OUT046
DRC13,2015.94812621,OUT046
NCP43,2947.6762376,OUT049
FDX28,1541.4172921,OUT049
FDF08,1492.30967711,OUT049
FDZ33,2482.13430674,OUT046
FDD10,2922.42957552,OUT049
FDO58,2568.00043031,OUT017
FDI50,3820.61224065,OUT017
FDO58,2575.61294593,OUT045
FDX08,3022.91028726,OUT013
NCK17,128.974790356,OUT010
FDF39,4091.01373422,OUT035
FDU45,265.640668766,OUT010
NCJ18,1952.43588186,OUT018
DRC27,569.140795147,OUT019
DRC25,1440.98796156,OUT035
